k,rnn_type,units,activation,dropout,optimizer,learning_rate,batch_size,epochs,avg_val_mse,avg_val_mae
3,SimpleRNN,20,relu,0.0,adam,0.001,16,50,0.0019575249892844907,0.024558371302681663
10,SimpleRNN,20,relu,0.0,adam,0.001,16,50,0.0024940663105157985,0.02205645371738322
5,SimpleRNN,20,relu,0.0,adam,0.001,16,50,0.002792763906449009,0.023899004029003475
9,LSTM,20,relu,0.0,adam,0.001,16,50,0.002871288111263673,0.029746318825355673
3,GRU,20,relu,0.0,adam,0.001,16,50,0.0034985519681365535,0.033617155146271734
9,SimpleRNN,20,relu,0.0,adam,0.001,16,50,0.0035069862507252567,0.026851983571668653
10,LSTM,20,relu,0.0,adam,0.001,16,50,0.003613214951361218,0.03470474811223541
5,GRU,20,relu,0.0,adam,0.001,16,50,0.0036191031181305026,0.029553915120837704
9,GRU,20,relu,0.0,adam,0.001,16,50,0.0038632995710174375,0.0313861908521844
3,LSTM,20,relu,0.0,adam,0.001,16,50,0.0038675463970613217,0.03594204727444589
20,GRU,20,relu,0.0,adam,0.001,16,50,0.004107532454328525,0.029306064530930716
20,SimpleRNN,20,relu,0.0,adam,0.001,16,50,0.004165902898118532,0.029740847323276975
10,GRU,20,relu,0.0,adam,0.001,16,50,0.004504909761561619,0.028594786406934476
5,LSTM,20,relu,0.0,adam,0.001,16,50,0.005506807871311235,0.034591274630556376
20,LSTM,20,relu,0.0,adam,0.001,16,50,0.009874684289068264,0.05401094102640719
1,SimpleRNN,20,relu,0.0,adam,0.001,16,50,0.023281506589881935,0.11455069986467736
1,GRU,20,relu,0.0,adam,0.001,16,50,0.02396006912261121,0.11531654357944514
1,LSTM,20,relu,0.0,adam,0.001,16,50,0.024409161462633215,0.11676316719492394
